code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So (JH),Tomo Kan (Segue),Tomo Kan (Diangassagou),,"Tommo So (Tongo Tongo, JH)","Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, SE/JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,synonymy,book p,comment,domain,specimens
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50019,,,2011,,herb sp.,plante herbacée sp.,,,,"bèbèrú-málpà (""herder-rifle"", because seeds shoot out of capsule)",,,,,,,,,,,,,,,"nùm-kílé (""cowpea grow.wild"") xxx[verify]",,bàlmà-ɛ́jɛ̀:,,"kìrgà sámbè (""herder's spear"", Mougui)",tùmbù-kɛ́mɛ́mɛ́ (Boui),,,gìdó pɛ́rì,gìdó pèrí,,,,,,,,"kùrkéy mâlf-íy-ǎ: (""sorceror's rifle-Dimin"", seeds shoot out of capsule)",,Ruellia cyanea,Ruellia patula,,"seeds shoot out of capsule, cf. Ruspolia hypocrateriformis var. hypocrateriformis",plant,"2004_220, 2006_057"
flora,flowering,flore,fleurissant,200,5,Aizoaceae,,,50676,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trianthema portulacastrum,,,,plant,
flora,flowering,flore,fleurissant,200,5,Aizoaceae,,,50020,,,2011,,herb sp.,plante herbacée sp.,,,kùntàwrá sáwà:,,[ǹdò kòrò] wòsó,,"òndògòrò-jɛ̀:mɛ́ (""...-shard"")",òndògòrò-jɛ̀:mbɛ́,,,,,,,,,,,,,,,tàkóbìlì (Mougui),,,,,,,,,,,,,,,Zaleya pentandra,Trianthema pentandra,,"semi-succulent, prostrate",plant,2004_274
flora,flowering,flore,fleurissant,200,5,Alliaceae,,,50021,,,2011,,onion,oignon,,,,,,,"jɔ̀wⁿɔ̀-î:ⁿ (""onion.plant-child"")",gâw,,,jɔ̀wɔ́,gâw,gâw,jàbá,,kàⁿ-fóléⁿ,,gáw,gáw (JH < Z),jàbá,,,,,,,kàmíyⁿɛ̀,kàmíyɛ̀,"jàbà, yá:sě:",jà:ndà,,,,,àlbázár-ò [tone] (< Ar),gábù,,Allium cepa,,,cultivated,plant (cultivated),
flora,flowering,flore,fleurissant,200,5,Alliaceae,,,50022,,,2011,,garlic,ail,,,,,,,lǎy (< Fr),àwsà-gâw,,,,lǎy,la᷈y,lǎy,,,,,,túmel,,,,,,,kàmìyⁿɛ́ nàrà,kàmíyɛ̀ nárà,,,,,,,,,,Allium sativum,,,cultivated,plant (cultivated),
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50023,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achyranthes argentea (cf.),,,doubtful ID,plant,
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50024,,,2011,,herb sp.,plante herbacée sp.,,ɛ̀sà-àrá dùwěy,"cèŋgù-[ì-rⁿú], cèŋgù-[ì-rⁿí]","kèŋù-ŋìrⁿɛ́ (""agama-tooth"")",[ɛ̀:ⁿ-tùmbìrì]-kɛ̀mɛ́,,"cè:ŋ-ìrⁿé (""agama.lizard-tooth"") (also Asparagus), pèllè-ìrⁿé (""dove-tooth"", Fombori)",pɛ̀tɛ̀-pɛ̌:,,,,,xxx,ènjégè:,hɔ̀ŋɔ̀lɔ́-tɛ̀rɛ̀ⁿ,"hɔ̀ŋgɔ̀lɔ́-tɛ̀rɛ̂yⁿ (""shin-adhere"")",,ɛ̀njɛ̀-ɛ̀njɛ̀-gíyé,tɛ́rɛ́lɛ̀,"ɔ́llɔ̀ tàgùŋ (""chicken shoe"")",àntùmbùlì-cɛ̀mɛ̌:,"àntùmùlù-cɛ̀m (""dwarf-point"")",sànà:jà-málé ŋgwɛ̀-mbò (Mougui),"ùnàvè-tírìyà (Boui), ùnàbè-tírìyà (Tanga)",ǹtárèwⁿ,,"yàgàdá nàrà, yàgádà",yágádá nárà,xxx,,,,,,"cè-híɲɲ-à: (""mouse-ear-Dimin"", contracted)","kěŋ-híyⁿɛ̀ (""mouse-tooth"")",,Achyranthes aspera var. sicula,,,"shade under trees, prickly",plant,
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50025,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aerva javanica,,,whitish plant,plant,
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50026,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,xxx[elicit],,,,,,,,,,,,,àdwàɛ́-dígí-símà (2011),,,,,,Alternanthera nodiflora,,,"leaf linear-lanceolate, petals sharply pointed",plant,
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50027,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kɔ̀jì-dómbè (""grass-spread.out"")",,,,,,,,Alternanthera pungens,,,reported Hombori; leaf oval,plant,
