code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So (JH),Tomo Kan (Segue),Tomo Kan (Diangassagou),,"Tommo So (Tongo Tongo, JH)","Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, SE/JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,synonymy,book p,comment,domain,specimens
flora,flowering,flore,fleurissant,200,5,"Fabaceae, Mimosoideae, Acacia (scrub)",,,50369,,,2011,,acacia sp.,acacia sp.,,àrànsàŋ jɛ́m,,"ɔ̀rɔ̀ gɛ́m, ɔ̀rɔ̀ jɛ̀mɛ̂y","ɔ̀rⁿɔ̀nɔ̀ jɛ́mí (""scrub.acacia black"")",,"wɔ̀rɔ̀ jɛ́m (""scrub.acacia black"")","ɔ̀-ɔ̀rɔ́, ɔ̀-ɔ̀rɔ̀ jém",wɔ̀rɔ́ gɛ́m,,wɔ̀rɔ́,,,,"gɔ̀ndɔ́, dùgú (general term for thicket)",wɔ́rɔ̀:,,wɔ̀lɔ̀ gɛ́m,,wɔ̀:lɔ̀ gɛ́mɛ̀ŋ,wàrà-kà:dà jɛ́m-gɔ̀,zòlòŋ bǎn,ɔ̀lɔ̀ bán-gò\\ɔ̀lɛ̀ bánè,wà:là gɛ́mɛ́ (Boui),,,gòwⁿá nàrà,gɔ́wⁿá` nárà,"gòŋá yɔ̀:lɛ̀ (""black"")",,,sí:bɛ̀ (JH 05),,,"kù:g-ò, kù:g-ù bíy-ó (""... black"")","wɔ̀rɔ̀-bí: (""...-black"")",,Senegalia erythrocalyx,"Acacia erythrocalyx, Acacia pennata",A363,"thorny thickets, cf. A. ataxacantha; branches streaked brown, globular white flowers",plant,
flora,flowering,flore,fleurissant,200,5,"Fabaceae, Mimosoideae, Acacia (scrub)",,,50367,,,2011,,thorny tree sp.,arbre épineux sp.,,"sèwrú, àrà:rà-ná:",wɔ̀rɔ́ bòlórò,ɔ̀rɔ̀ dé:rⁿûm,"ɔ́rɔ́-bòndórô, ɔ̀rⁿɔ̀nɔ̀-gùndá (""scrub.acacia-slave"")",,,", ",,,,,,,,,,,,,,"lòl-gùnò (""Parkia-slave"")",ɔ̀lɔ̀ jɛ́mɛ̀-ŋgò\\ ɔ̀lɛ̀ gɛ́mɛ̀,,,,,,,,,"jɔ̀lɔ́nŋ (SE), jùwè ɲóⁿ (JH 05 but cf. Albizia)",,,,"ʔàndádà-múrà, gún-kɔ́bɛ̀",,Vachellia amethetophylla,"Acacia amethetophylla, Acaciamacrothrysa",A359,"large leaves, globular yellow flowers",plant,
flora,flowering,flore,fleurissant,200,5,"Fabaceae, Mimosoideae. Acacia (scrub)",,,50371,,,2011,,acacia sp.,acacia sp.,,àrànsàŋ gáŋgùrúmà,"wɔ̀rɔ̀ jɛ́wⁿɛ̀-w (""scrub.acacia black"")",ɔ̀rɔ̀-ná:,,,à-pá:ná,,à-pá:nà,,,,,,gɔ̀ndɔ,bàgɔ́ndô:,,wɔ̀lɔ̀ pɛ̀rɛ̀ndɛ̀-ý,"wɔ̀lɔ̀ pílú (""... white"")",wɔ̀:lɔ̀ pílɛ̀ŋ,,,ɔ̀lɔ̀ gùndɛ́-ŋgó\\ɔ̀lɛ̀ gùndɛ́,káwálá (Tanga),wɔ̀lɔ́ŋkùŋùnɛ̀,,pɛ́jɛ́gɛ́rɛ̀,pɛ́jɛ́gɛ́rɛ̀,góŋà,,,,,,"kù:g-ò, kù:g-ù hàr-íyà (""... male"")",,,Senegalia macrostachya,Acacia macrostachya,A370,"resembles A. ataxacantha but self-standing tree, white flower spikes",plant,2004_073 Kiri
flora,flowering,flore,fleurissant,200,5,Geraniaceae,,,50372,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cèdí:r-ò,,,Monsonia senegalensis,,,Hombori specimen,plant,
flora,flowering,flore,fleurissant,200,5,Gisekiaceae,,,50373,,,2011,,prostrate herb sp.,plante rampante sp.,,,,,"[[pèndì-gìrè]-ùrì]-gùndá (""Euphorbia-slave"")",,"pùlɔ̀-jídù (< Ful ""Fulbe-friend""), sǒm-púɲúrⁿúm (""horse-lump.of.earth"")",,,,,sèlènɛ́,,,,,,,"sùgùrù-kèrú (""ear-grass"") [also Lepidagathis]",,,,"bàrmà-[sémbèrè-ŋgo]\\bàrmà-sémbèrè (""pot-tapering"", used to clean pots)",,,,,,,,,,,,,"kěŋ-wâ: (""mouse-milk"", main referents Euphorbia spp.)",,Gisekia pharnaceoides,,,,plant,2004_311
flora,flowering,flore,fleurissant,200,5,Hernandiaceae,,,50374,,,2011,,tree sp.,arbre sp.,,,yǎmbǒm,"àbómbôm (< TSK), yàŋàyôw",yàmô: ~ yàmbô:,,yɛ́-bòm (Fombori),,,,,,,,xxx,,,pòlóm-pòlòm,xxx[elicit],pòlòm-pólòŋ,pòrò-pòló,pó-pòlòm,ɔ̀mbɔ́-ɔ̀mbɔ́\\ɔ̀mbɔ́-ɔ̀mbɛ́,pòn-pòní (Boui),,,pòróm pórè,,pòlò-m-pólò,pòlò-m-pòlò,,"gǔmbí (SE spcm 1), tǔmbà (SE spcm 2), gùmbí (JH 05)",,,,ʔàmbóbǒm  ʔàmbómbǒm,,Gyrocarpus americanus subsp. pinnatilobus,,A337,"palmatilobate leaves, underside of leaf whitish; used for wooden troughs",plant,
flora,flowering,flore,fleurissant,200,5,Hydrocharitaceae,,,50377,,,2011,,floating herb sp.,plante herbacée flottante sp.,,,,nì: sìwrɛ̀ yǎ:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Najas welwitschii (cf.),,,"algae-like but clumpy, in stagnant water",plant,2005_293
flora,flowering,flore,fleurissant,200,5,Lamiaceae,,,50378,,,2011,,herb sp.,plante herbacée sp.,,kàyǒŋ-kùwɔ̀,"jìré-lìgísì (""eye-rub"")",,"gìré lígísì (""eye-rub"")",,"jìré-lìgíjù (""eyes-rub"", plant is used to remove particles from eyes)",gìré-lìgísì,gìré-lìgízù,,,,gìrú-nìŋíɲù,,"sùgù-lárá-bárá (""ear-..."")",,,jɛ̀m-dàbà-ý,dàbà-ý,"àndúmbúlé dámmàŋ (""dwarf daba"")","gìré lìgìdù (""eye rub"")",,"sànàŋʷɛ̂:-mbò dàbà\\dàbà-mbò (""mosquitoes' hoe""), gìrè-nìgìlè yàwó: (""... female"", Mougui)",bíyó dùŋó kɔ̌y (Boui),,,gìdó-pàgàrà,gídó` págárà,xxx,"kɔ̀jì-kwé: (""grass-Xylopia"")",,,,,kòwrú-ꜜgáb-ò ~ kòyrí-ꜜgáb-ò,kóyrè-gábù,,Endostemon tereticaulis,,,resembles Ocimum americanum; both are used for cleaning eyes,plant,2004_521/522
flora,flowering,flore,fleurissant,200,5,Lamiaceae,,,50379,,,2011,,shrub sp.,arbuste sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sɔ́m,,Hoslundia opposita,,A341,Kikara specimen,plant,
flora,flowering,flore,fleurissant,200,5,Lamiaceae,,,50380,,,2011,,herb sp.,plante herbacée sp.,,,"bàrà-pɛ̀dìŋgè yǎ:, gàlà sàwà: yǎ:",,,,"búró-[pɛ́-díŋè] (""pond-Xylopia"")",tútùgúrò,,,,,xxx,,xxx,cìcɛ̀-kógóló (green fruits placed in bags of millet grain to repel insects),,kerù-pɛ̀:díŋɛ́,"ɔ̀mɔ̀lɔ̀-dúlɔ́ (""patas.monkey-tail"")",dùlùmò-jìɲú,"sùnɔ̀-yɔ̯ǎ: (""ear-grass"")",dùlmà-jìɲɛ̀,,àlìmà-tɔ́:lɛ́ (Boui),,,wɔ̀mbɔ́ kɔ́jì,wɔ́mbɔ́ kɔ́jì,xxx,,,gɔ̀:ndɛ́ⁿ-bùrⁿà (2011),,,,,,Hyptis spicigera,,,medicinal plant with flower spike; strongly aromatic,plant,2005_268
flora,flowering,flore,fleurissant,200,5,Lamiaceae,,,50381,,,2011,,herb sp.,plante herbacée sp.,,,,tàmá-pǔ: (also Leucas),,,,,,,,,,nùndúgò,swè-ʔí:ⁿ,,,sùý,,yàgàràŋ-kɔ́:gú,,,,ɔ́:ndɛ̀ (Boui),[??],ò:wéwⁿ kɔ́jì,,,xxx,,,,,,,"sùbù-[fɛ́rɛ̀r-ǎ:] (""grass-scented"")",,Hyptis suaveolens,,,"tall herb, mature stems semi-woody, small blue flower",plant,
flora,flowering,flore,fleurissant,200,5,Lamiaceae,,,50382,,,2011,,herb sp.,plante herbacée sp.,,gɔ̌ŋ-sàrù,,,,,,,,,,,,,xxx,,,xxx,,,,,,,,,,,,,,,,,,,,Leonotis nepetifolia var. africana,,,resembles Leucas martinicensis; calyx teeth rigid and thornlike,plant,
flora,flowering,flore,fleurissant,200,5,Lamiaceae,,,50692,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"àbúgúrí, yàbúgúrú",,Leucas deflexa,,,introduced species,plant,
flora,flowering,flore,fleurissant,200,5,Lamiaceae,,,50383,,,2011,,herb sp.,plante herbacée sp.,,,sàwà: dɔ̌yⁿ,tàmá-pǔ: (also Hyptis),"sàwà kù:-[gòrò-górô] (""grass head-oversized"")",,"búró-[pɛ́-díŋè] (""pond-Xylopia"")",ɔ̀yɔ̀ kù:-júŋgúrò,,,gɛ̀rwɛ́,"kú:-dùgù (""head-big"")",xxx,sèndé (one of several),xxx,bɛ̀gɛ̀ⁿ-gòndéⁿ-dóŋgèlèmà,,"òm-kèrú (""mosquito-grass"", repels mosquitoes_","òm-kèrú (""mosquito-grass"")",sèndè ánà,"cɛ̀pàm-yɔ̯ǎ: (""fever-grass"")",,"bɔ̀rɔ̀-pɛ̀tíŋá\\bɔ̀rɔ̀-pɛ̀tíŋɛ́ ~ bɔ̀rɔ̀-pɛ̀díŋá\\bɔ̀rɔ̀-pɛ̀díŋɛ́ (""garden-Xylopia""), èndê: dùrùbà:nà-ŋgò\\òndô: dùrùbà:nà (""child's amber"")","yɔ̀:mɛ̀ dùŋɔ́ (Boui, ""hare's tail"")), kɔrɔy dumna koy (Boui), kùrá dùŋɔ́ kɔ̀y (Tanga)",sɛ̀mɛ́ŋkɔ̀: tùmày,,bòŋgè-bóŋgé,,xxx,kɔ̀jì-[pó:-pò:],,"éné ɔá (SE), yààndɛ́ pámpɔ̀ɛ̀ (JH 05 ex SE), àdʷɛ̀dɔ́kɛ́sɛ̀ⁿ (JH 05), àlìmbànáyì (2011)",,,,"sùbù-[fɛ́rɛ̀r-ǎ:] (""grass-scented"")",,Leucas martinicensis,,,"can be confused with Lepidagathis, cf. Leonotis; calyx teeth not rigid",plant,
flora,flowering,flore,fleurissant,200,5,Lamiaceae,,,50384,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,nànà-yê:,,,,,,,,,,,,,,,,,,,nànàyé,,,,,,,,,,,Leucas sp. (cf.),,,"not seen, said to resemble L. martinicensis",plant,
flora,flowering,flore,fleurissant,200,5,Lamiaceae,,,50385,,,2011,,mint,menthe,,,,,,,ànà:ná (< Ar),,,,nànàyé,,ànàná,nàná-ỳ,,nànàyê:,,nànà-ýⁿ,nànà-ý,nànà-ý,,,,,,,,nànàyé,,,,nànàɛ́ (SE),,,ná:nây,nà:nâ:,,Mentha spp.,,,,plant (cultivated),
flora,flowering,flore,fleurissant,200,5,Lamiaceae,,,50386,,,2011,,bush sp.,buisson sp.,,"jìrònjěy, sùgùrù-lètú",jìré-lìgísì,gìré-lì:rì,"gìré lígísì (""eye-rub"")",,"jìré-lìgíjù (""eyes-rub"", plant is used to remove particles from eyes)",gìré-lìgísì,gìré-lìgízù,,,dànà-kèrí,,"gìrí-n-dèŋélè, gìrí-n-dèŋénè",,,,jɛ̀m-dàbà-ý,jàn-dàbà-ý (cf. Endostemon),gìré-lìgìsì,sàmí dàbà,,"gìrè-nìgìlè ánà: (""... male"", Mougui)",kɔ̀y-kóbóbó (Boui),kwɛ́:lɛ́ jóŋgú,kɔ́yɛ́lɛ́ jóŋgú,gìdó-pàgàrà,gídó` págárà,,,,,,,kòwrú-ꜜgáb-ò ~ kòyrí-ꜜgáb-ò,kóyrè-gábù,,Ocimum americanum var. americanum,Ocimum canum,,planted; smaller than O. basilicum; resembles Endostemon (both are used for cleaning eyes),plant,2004_523
flora,flowering,flore,fleurissant,200,5,Lamiaceae,,,50387,,,2011,,bush sp.,basilic (buisson),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nànàɛ́ gɔ̀ⁿ (SE), nànǎyⁿ gwɔ̀ⁿ (2011, in garden)",,,kòwrú-ꜜgáb-ò ~ kòyrí-ꜜgáb-ò,,,Ocimum basilicum,,,planted; larger than O. americanum,plant (planted),
flora,flowering,flore,fleurissant,200,5,"Lamiaceae, Viticoideae",,,50388,,,2011,,shrub sp.,arbuste sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitex chrysocarpa,,A510,riverbanks,plant,
flora,flowering,flore,fleurissant,200,5,"Lamiaceae, Viticoideae",,,50389,,,2011,,tree sp.,arbre sp.,,,àrmùrⁿɔ́,"mùrⁿá, mùrⁿa jɛ̀mɛ̂y","àrì-mìrⁿá (""Ari.village-Vitex"")",,àrùmùrⁿó ~ àrùmùnó,àrmùrⁿó,àrmùrⁿɔ́,,à:-mùrⁿú,àlmɛ̌:,àrmǐ:,àrmó,mùná,mùnâ:,,"ànà-mùyⁿɔ́, ànà-mùyⁿɔ̀ ná:","ànà-mùyɔ́ (""rain patience"")",ànàmán-jɛ̀mbɛ̀:rɛ̀,àrⁿmùrⁿó,mìrⁿàm,mìn-gó\\mìné,míná (Boui),mɔ́lɔ̀,mɔ́lɔ̀,mórà,mɔ́rà,mólà,mòlà,,"mùú (SE, 2 spcm's), mú:ⁿ (JH 05)",,,,"mùná, mùnà-bí:",,Vitex doniana,,A511,"black fruits edible, sold in markets",plant,
flora,flowering,flore,fleurissant,200,5,"Lamiaceae, Viticoideae",,,50390,,,2011,,tree sp.,arbre sp.,,,"tɔ́rɔ̀ àrmùrⁿɔ̀ (""mountain's Vitex"")",mùrⁿà píndɛ́,"gèrⁿè-mìrⁿá (""rainy.season-Vitex"")",,,,,,,,,jɛ̀mbɛ́rɛ̀,mùnà-dùʔùní,mùnà-dúŋúní,,"ànà-mùyⁿɔ́, ànà-mùyⁿɔ̀ téndélé",,mìnnáⁿ,àrⁿmùrⁿò-gùndɔ́,mìrⁿàm pèl-íyè,tàbàlà-mìn-gó (Mougui),kì:-míná (Boui),mɔ̀lɔ̀-kíjì,mɔ̀lɔ̀ kíjì,mòrá kíjì,mòrá` kíjì,mólà,mòlà-kìjì,,mú:ⁿ (JH 05),,,,mùnà-kɛ̀ŋgɛ́,,Vitex madiensis subsp. madiensis,Vitex simplicifolia,A513,leaves can have odd shapes; fruits like V. doniana but not as good,plant,
flora,flowering,flore,fleurissant,200,5,Lauraceae,,,50391,,,2011,,herbaceous liana sp.,liane herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cassytha filiformis,,,"spaghetti-like tangled leafless liana, green or orange; Djenné specimen",plant,
flora,flowering,flore,fleurissant,200,5,Lauraceae,,,50392,,,2011,,bay leaf,laurier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurus nobilis,,,cultivated; leaves sold as spice (towns),plant (cultivated),
flora,flowering,flore,fleurissant,200,5,Loganiaceae,,,50393,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cíhò:r-ò (also Vernonia),,,Spigelia anthelmia (cf.),,,"doutful ID, Hombori specimen",plant,
flora,flowering,flore,fleurissant,200,5,Loganiaceae,,,50394,,,2011,,thorny tree sp.,arbre épineux sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strychnos spinosa,,A344,may occur in southern Dogon country,plant,
flora,flowering,flore,fleurissant,200,5,Loranthaceae,,,50395,,,2011,,mistletoe,plante hémiparasite (gui),,túmó,kó:ŋgó,kôm-kôm,kó:ŋgó,,kí-kôm,kó:ŋgó,kí-kóm [tone],,kɔ́ⁿ-kɔ́ⁿ,sàbùjú,xxx,témbù,kù-kɔ́ⁿ,,,,,témbùŋ,pí:dù,pì:zù,tɛ́tɛ́bɛ́ndɛ́-ŋgó\\tɛ́tɛ́bɛ́ndɛ́,tùmbù-tùmbú (Boui),kó:ŋgóⁿ,kó:ŋgóⁿ,sègédè,ségédè,xxx,kón-kón,,dʷà:súrmbè (JH),,,sòt-ò,túwⁿá,,(various),,,,plant,
flora,flowering,flore,fleurissant,200,5,Loranthaceae,,,50685,,,2011,,mistletoe sp.,plante hémiparasite (gui),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Englerina lecardii,,A345,,plant,
flora,flowering,flore,fleurissant,200,5,Loranthaceae,,,50396,,,2011,,mistletoe sp.,plante hémiparasite (gui),,,,,,,,,,,,,,,,,,pììdú,pììdú,,,,,,,,,,,,,,,,,,,Tapinanthus bangwensis,Tapinanthus globiferus subsp. bangwensis,A348,"recorded San, Sanga, Léré",plant,2004_530
flora,flowering,flore,fleurissant,200,5,Loranthaceae,,,50397,,,2011,,mistletoe sp.,plante hémiparasite (gui),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapinanthus pentagonia,,A349,recorded Douentza-Hombori,plant,
flora,flowering,flore,fleurissant,200,5,Loranthaceae,,,50398,,,2011,,mistletoe sp.,plante hémiparasite (gui),,,,"[gùrò pìrì] kómkóm (""Guiera-mistletoe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapinanthus sp. (indet.),,A348,,plant,
flora,flowering,flore,fleurissant,200,5,Lythraceae,,,50399,,,2011,,prostrate herb sp.,petite plante herbacée rampante sp.,,,"dɛ́sɛ̀, nî: sàwà: (""water's grass"")",,dɛ́sɛ̂,,,ɔ̀yɔ̀ wà:rⁿá,,,,,,,,,,,,,,,,,,,,,,,,tɔ̀lɛ̀ɲɔ́,,,,,,Ammannia auriculata,,,prostrate; leaves widest in middle,plant,2005_620/621 Beni
flora,flowering,flore,fleurissant,200,5,Lythraceae,,,50400,,,2011,,prostrate herb sp.,petite plante herbacée rampante sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ammannia baccifera,,,prostrate; leaves widest at base; along Niger R,plant,
flora,flowering,flore,fleurissant,200,5,Lythraceae,,,50401,,,2011,,henna bush,buisson de henné,,púddì,pútù,púddì,pútî,,púddù,púttù,,,pútúrú,,jàbí,púdù,jàbì,jɛ́bì:,,púddù,púddù,púttù,"jàbì-tìmá, jàbî: (henna)","jàbî:, púdù",púddì-ŋgò\\púddì,pùdí (Boui),pútù,pútù,púdí,púdí,pùddí,púddì,,púdì (JH 05),,,àlhín-ò,fúddì,,Lawsonia inermis,,A352,cultivated; henna used as women's cosmetic,plant (planted),
flora,flowering,flore,fleurissant,200,5,Malphighiaceae,,,50402,,,2011,,shrub sp.,arbuste sp.,,,,òsòsò:-díyⁿàwⁿ àyà (stomach medicine),"nàŋà-nɛ́ndɛ̀ (""cow-tongue"")",,jìmnì-béré,,,,,,,,,,,,,,,"nà:-némdà (""cow-tongue"")",wàmbá-níyɛ́-ŋgó\\wàmbá-níyɛ́ (local specimen seen),èmbèlè báná (Boui),,,,,,,,,,,,"ʔármɔ́sɔ̀, hèw-tǔ:rí-[bɛ̀:r-ǎ:] (""wind-medicine-big"")",,Acridocarpus monodii,,,slender leaves turn red; medicinal; inselbergs,plant,2004_266
flora,flowering,flore,fleurissant,200,5,Malvaceae,,,50403,,,2011,,bush sp.,buisson sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abutilon fruticosum,,,"Hombori-Gossi, Gourma; small leaf",plant,
flora,flowering,flore,fleurissant,200,5,Malvaceae,,,50404,,,2011,,bush sp.,buisson sp.,,bíbì:ⁿ,árkùrô-m\\árkùrô:,,,,,nàŋà-bɛ́ ɔ́yɔ̀,,,túŋúrⁿú,,,,"hòròbà-jɛ́ (""community-bark"")",,,,xxx[elicit],yàgàràŋ-kɔ̀:gú (relieves itching),yɔ́-bàrù,"[yà:dù-kùmà]-gùnò (""hibiscus-slave"")",àkwâ: (Mougui),míná-kɔ̀y (Boui),,,,,,,,àyànámà: dɛ̂ (JH 05),,,"kòtíy-èy gò:r-íyà [tone] (""children's kola-Dimin"")",fìrmítì,,Abutilon pannosum,,,broad cordiform leaf,plant,
flora,flowering,flore,fleurissant,200,5,Malvaceae,,,50405,,,2011,,bush sp.,buisson sp.,,yàgà-yágà,"sèkùrù-gùlɔ́, [yàgùm-yà:]-gùlɔ́",,"yòrìyèmì-gùndá (""hibiscus-slave"")",,,ɛ̀ŋgɛ̀rɛ̀-ànjú,,,túŋúrⁿú,,,,,,,,"yúú bàlàmbày (""millet's tomtom"", ID incorrect JH < Ramata)",,,,yá-yágárá-ŋgó\\yá-yágárá,,,,,,,,,,jɛ̀náŋ kɔ̀ŋgɔ̀rɔ̀,,,,,Abutilon ramosum,,,leaf bottom not deeply cordate; long soft hairs on both sides of leaf,plant,"2004_555, 2006_020 (infertile)"
flora,flowering,flore,fleurissant,200,5,Malvaceae,,,50406,,,2011,,prostrate herb sp.,plante rampante sp.,,[ɛ̀rⁿà-bèrùm ì-mú] tìwⁿà,"[bɛ̀r-bèrè]-gǒ:rò (""goatherd-kola.nut"")",,"bèrèmbí gó:rò (""herder's cola""), búró dɛ́ŋgɛ́m-mɛ́:rɛ̀ (""pond's Zornia"")",,"[àmà-tígè]-bén-gɔ́ŋɔ́rɔ́ (""Amatige['s]-tomtom-tapstick""), [bɛ̀r-jìrɛ̀-m]-gǒ:rò (""herders' kola.nut"")",mɔ̀:gɔ̀-lǒy,,,,,,,,,,"mɛ̀lɛ̀gɛ̀m-kɛ̀ɲɲɛ́ (""djinn-cotton"")","mɛ̀lɛ̀gɛ̀m-kɛ̀ɲɲɛ́ (""djinn-cotton"")",ǹjà:-tɛ̀ndɛ̀-kɔ́:gù,lékò,,tágábàl,,,,póníyá kɔ̀júwè,,xxx,,,,,,,léggêl (< Ful),,Cienfuegosia digitata,,,"trailing, leaf deeply lobed; toxic for livestock",plant,2004_549
flora,flowering,flore,fleurissant,200,5,Malvaceae,,,50407,,,2011,,cotton,coton,,,,,,,,dɔ̀gɔ̀-nà:mú,,,,,,,,,,kɛ̀ɲɲɛ̀ ná:,kɛ̀ɲɲɛ́,,,,,,,,àmpàrí kùrá:ndè,àmpàrí kúrándè,,kɔ́:ndè,,,,,,,,Gossypium anomalum,,,"rocky debris, Hombori-Gossi",plant (cultivated),
flora,flowering,flore,fleurissant,200,5,Malvaceae,,,50408,,,2011,,cotton,coton,,,,,,,nǎ:m,"nà:mú, ànsà:rà-nà:mú",,,kɔ́nú,nǎm ~ nàmú,nàmú,kɛ̀mnɛ̌́y,,"kùní (cotton), kùnì-dú (plant)",,kɛ̀ɲɲɛ́,kɛ̀ɲɲɛ́,,,,,,,,"kùrá:ndè, àndásàrà kùrá:ndè","kùrándè, àndásárá kúrándè",,,,nùgùyɛ́ (SE),,,hà:b-ò,hà:bù,,Gossypium hirsutum,,,cultivated cotton,plant (cultivated),
flora,flowering,flore,fleurissant,200,5,Malvaceae,,,50409,,,2011,,erect herb sp.,plante herbacée érigée sp.,,"sǎy àⁿsù (""bird's roselle""), sǎy dòŋùnù ~ sǎy dòŋnù (""bird's roselle.plant""","ènjì:-kúnjùm (2004_554/555), bàlàɲà:má (2005_559)",dɛ̌:-dò:rú,"ànjì-kúrɔ́ (""roselle-leaf""), ɛ̀:njì-gùndá (""roselle-slave"")",,"àɲù-bɛ̀lɛ̀ŋgá (""roselle-..."", for fiber)",ànjù gùlɔ́,"ɛ́ŋɛ́rⁿɛ́ á:ⁿsù [verify] (""frog's roselle"")",,àɲù-bàlèmbá (for fiber),pɔ́lɔ̀,pɔ́lɔ̀,sábàgà,ʔànjù-kwɛ̀jɛ́,ànjù-kwɛ́jɛ́:,,"ɛ̀ndɛ̀-kùmò dò:nú (""millipede-roselle"", millipedes feed on it)",xxx[elicit],sábùgò,kùlèré,àɲù-nâ:,"[kòy-mbò]-dòné (""monkeys-roselle"")","gú: ànjí (Boui, ""giant.tortoise's roselle"")",bàjá,,pólí,pólí,xxx,póllì,,sɔ́rɛ̀ (JH 05 but cf. Sesbania sesban),,,"kór-ò jésùm-ô (""hyena's roselle"")","gèsùmà kà:s-íyà (""roselle rough"")",,Hibiscus cannabinus,,,now includes H. asper; flowers subsessile,plant,"2004_551/552/553, 2005_559 Anda"
flora,flowering,flore,fleurissant,200,5,Malvaceae,,,50410,,,2011,,erect herb sp.,plante herbacée érigée sp.,,,"ènjì:-kùnjùm pílɛ́ (""... white"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hibiscus cannabinus (green),,,,plant,2005_557b
flora,flowering,flore,fleurissant,200,5,Malvaceae,,,50411,,,2011,,erect herb sp.,plante herbacée érigée sp.,,,"ènjì:-kùnjùm bárⁿàwⁿ (""... red"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hibiscus cannabinus (red),,,,plant,2005_557a
flora,flowering,flore,fleurissant,200,5,Malvaceae,,,50412,,,2011,,okra,gombo,,tɔ̀rⁿí,,pólóy,,,póró,póró,,,ɔ̀gɔ̀-pó:ró,gáŋgájì,,,,hòró:,,,,gáŋá:zì,,,,,,,,,,,,gɔ̀ɔ̀mɛ́ (SE),,,lâ:,lâ:,,Hibiscus esculentus,,,cultivated,plant (cultivated),
flora,flowering,flore,fleurissant,200,5,Malvaceae,,,50413,,,2011,,bush sp.,buisson sp.,,[yàgà-yàgà]-[árèy],yàgùm-yǎ:,yáyá:rà,"yàgàrà-yágî (cf. verb yàgí-rí̀ 'itch', plant has tiny bristles), yóríyémì",,yàgùrù-yǎ:,"ànjù ké:, ànjù gùlɔ́",,,,yàgàrǎm-kǔp xxx,,,yɔ́,,,yàgàr-kùmmɔ́,"ɔ̀dɔ̀rɔ̀-bɔ̀mmɔ́ (""wind stare"")","ànàkàsùgù jí:gù, yàgàràŋ-kɔ́:, yàgìrí-gùlùmmɔ̀",yàgùrù-kùmbá,yà:dù-kùmà,yá-yágárá-ŋgó\\yá-yágárá,"kɔ̀y-yágárá (Boui, Tanga)",yágárá,gáŋgá:jì,ànjí tɛ̀wɛ̀,ánjí téwè,xxx,yàgàrà,,dʷɛ̀:sɔ́gɔ́ybɛ̀ (JH 05),,,"hàr-mà:mù-kà:j-íyà (""man-scrotum-scratch-Dimin"", because of bristles on plant)",yàgà-yágà,,Hibiscus longisepalus,,,"prickly bristles; long peduncle 5-6 cm, flower yellow",plant,2005_540/541/542/543
